StationCode,Latitude,Longitude,HUC_12,agency_cd,site_id,station_nm,site_tp_cd,lat,lon,coord_acy_cd,datum,elev_m,alt_acy_va,alt_datum_cd,huc8,date_begin,date_end,comid_gage,CEFF_type,SampleID,SampleDate,H_ASCI,COMID_algae,YYYY,MM,DD,US_L3_mod,geometry,metric,comid,data_type,p50_obs,result_type,p50_pred,status_code,status,alteration_type,median_in_iqr,refgage,delta_p50
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",DS_Dur_WS,20355520,observed,135,predicted,174.508333333333,1,likely_unaltered,none_found,FALSE,Non-Ref,0.7736020247361649
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",DS_Tim,20355520,observed,298,predicted,279.791666666667,1,likely_unaltered,none_found,TRUE,Non-Ref,1.0650781831720015
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",DS_Mag_50,20355520,observed,0.49,predicted,0.0860611523566506,-1,likely_altered,high,FALSE,Non-Ref,5.69362582979792
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",DS_Mag_90,20355520,observed,0.7045000000000001,predicted,0.118548169327297,-1,likely_altered,high,FALSE,Non-Ref,5.942732005038068
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",FA_Dur,20355520,observed,2,predicted,4,1,likely_unaltered,none_found,FALSE,Non-Ref,0.5
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",FA_Mag,20355520,observed,6.185150635774322,predicted,2.07448713321774,1,likely_unaltered,none_found,FALSE,Non-Ref,2.9815324167282378
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",FA_Tim,20355520,observed,12.5,predicted,32.6875,1,likely_unaltered,none_found,TRUE,Non-Ref,0.3824091778202677
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",SP_ROC,20355520,observed,0.07659713168187741,predicted,0.0714285714285714,1,likely_unaltered,none_found,TRUE,Non-Ref,1.0723598435462842
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",SP_Dur,20355520,observed,112,predicted,96.1375,1,likely_unaltered,none_found,TRUE,Non-Ref,1.1649980496684436
SMC14211,33.6894,-117.82174,180702040103,USGS,11048600,BONITA C A IRVINE CA,ST,33.64502095,-117.8611673,S,NAD83, 30,  5,NGVD29,18070204,2001-07-01,2020-11-17,20355520,ALT,SMC14211_2013-06-04 00:00:00_1,2013-06-04,0.5686715408076276,20355376,2013,6,04,Southern California,"c(-117.8611673, 33.64502095)",SP_Mag,20355520,observed,30.4,predicted,5.77814661966133,1,likely_unaltered,none_found,FALSE,Non-Ref,5.2612025967907705
