stationid,county,smcshed,latitude,longitude,stationcode,sampledate,projectcode,eventcode,protocolcode,agencycode,samplecomments,locationcode,geometryshape,collectiontime,collectionmethodcode,sampletypecode,replicate,collectiondevicename,sievesize,collectiondepth,unitcollectiondepth,sampleid,benthiccollectioncomments,grabsize,unitgrabsize,replicatename,replicatecollectiondate,numberjars,benthiccollectiondetailcomments,agencycode_labeffort,personnelcode_labeffort,percentsamplecounted,totalgrids,gridsanalyzed,gridsvolumeanalyzed,targetorganismcount,actualorganismcount,extraorganismcount,qcorganismcount,discardedorganismcount,effortqacode,benthiclabeffortcomments,finalid,lifestagecode,baresult,result,unitname,resqualcode,qacode,compliancecode,batchverificationcode,taxonomicqualifier,excludedtaxa,personnelcode_result,labsampleid,enterdate,benthicresultcomments,distinctcode,record_origin,origin_lastupdatedate,record_publish
405M10600,Los Angeles,San Gabriel,33.85293000,-118.10127000,405M10600,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 08:05:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGMR10600,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,603.00000000,,,,None,,Mayamaea atomus,NR,1.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7001,2016-09-02,,1.00000000,SMC,2016-01-23,true
405M10600,Los Angeles,San Gabriel,33.85293000,-118.10127000,405M10600,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 08:05:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGMR10600,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,603.00000000,,,,None,,Nitzschia amphibia,NR,53.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7001,2016-09-02,,1.00000000,SMC,2016-01-23,true
405M10600,Los Angeles,San Gabriel,33.85293000,-118.10127000,405M10600,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 08:05:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGMR10600,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,603.00000000,,,,None,,Nitzschia inconspicua,NR,21.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7001,2016-09-02,,1.00000000,SMC,2016-01-23,true
405M10600,Los Angeles,San Gabriel,33.85293000,-118.10127000,405M10600,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 08:05:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGMR10600,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,603.00000000,,,,None,,Planothidium frequentissimum,NR,12.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7001,2016-09-02,,1.00000000,SMC,2016-01-23,true
405M10600,Los Angeles,San Gabriel,33.85293000,-118.10127000,405M10600,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 08:05:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGMR10600,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,603.00000000,,,,None,,Sellaphora pupula,NR,1.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7001,2016-09-02,,1.00000000,SMC,2016-01-23,true
405M10600,Los Angeles,San Gabriel,33.85293000,-118.10127000,405M10600,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 08:05:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGMR10600,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,603.00000000,,,,None,,Staurosira construens var venter,NR,14.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7001,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Achnanthidium exiguum,NR,4.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Achnanthidium minutissimum,NR,397.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Amphora,NR,1.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,0E-8,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Amphora pediculus,NR,1.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Denticula kuetzingii,NR,50.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
